id,extract_time,item_name,high_price,low_price,avg_price,size_192,size_193,size_197
1,2025-10-27,多晶硅 致密料 (RMB),55.000,50.000,52.000,54.534,53.946,54.975
2,2025-10-27,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
3,2025-10-27,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
4,2025-10-27,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.400,1.497,1.540,1.568
5,2025-10-27,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.610,0.693,0.756,0.808,0.821
6,2025-10-28,多晶硅 致密料 (RMB),55.000,50.000,52.000,54.534,53.946,54.975
7,2025-10-28,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
8,2025-10-28,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
9,2025-10-28,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.400,1.497,1.540,1.568
10,2025-10-28,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.610,0.693,0.756,0.808,0.821
11,2025-10-29,多晶硅 致密料 (RMB),55.000,50.000,52.000,54.534,53.946,54.975
12,2025-10-29,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
13,2025-10-29,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
14,2025-10-29,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.400,1.497,1.540,1.568
15,2025-10-29,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.610,0.693,0.756,0.808,0.821
16,2025-10-30,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
17,2025-10-30,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
18,2025-10-30,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
19,2025-10-30,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
20,2025-10-30,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
21,2025-10-31,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
22,2025-10-31,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
23,2025-10-31,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
24,2025-10-31,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
25,2025-10-31,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
26,2025-11-01,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
27,2025-11-01,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
28,2025-11-01,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
29,2025-11-01,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
30,2025-11-01,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
31,2025-11-02,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
32,2025-11-02,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
33,2025-11-02,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
34,2025-11-02,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
35,2025-11-02,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
36,2025-11-03,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
37,2025-11-03,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
38,2025-11-03,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
39,2025-11-03,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
40,2025-11-03,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
41,2025-11-04,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
42,2025-11-04,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
43,2025-11-04,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
44,2025-11-04,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
45,2025-11-04,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
46,2025-11-05,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
47,2025-11-05,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
48,2025-11-05,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
49,2025-11-05,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
50,2025-11-05,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
51,2025-11-06,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
52,2025-11-06,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
53,2025-11-06,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
54,2025-11-06,单晶N型硅片 - 182*210mm / 130µm (RMB),1.350,1.300,1.350,1.445,1.488,1.515
55,2025-11-06,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
56,2025-11-07,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
57,2025-11-07,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
58,2025-11-07,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
59,2025-11-07,单晶N型硅片 - 182*210mm / 130µm (RMB),1.350,1.300,1.350,1.445,1.488,1.515
60,2025-11-07,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
61,2025-11-08,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
62,2025-11-08,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
63,2025-11-08,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
64,2025-11-08,单晶N型硅片 - 182*210mm / 130µm (RMB),1.350,1.300,1.350,1.445,1.488,1.515
65,2025-11-08,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
66,2025-11-09,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
67,2025-11-09,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
68,2025-11-09,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
69,2025-11-09,单晶N型硅片 - 182*210mm / 130µm (RMB),1.350,1.300,1.350,1.445,1.488,1.515
70,2025-11-09,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
71,2025-11-10,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
72,2025-11-10,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
73,2025-11-10,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
74,2025-11-10,单晶N型硅片 - 182*210mm / 130µm (RMB),1.350,1.300,1.350,1.445,1.488,1.515
75,2025-11-10,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
76,2025-11-11,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
77,2025-11-11,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
78,2025-11-11,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
79,2025-11-11,单晶N型硅片 - 182*210mm / 130µm (RMB),1.350,1.300,1.350,1.445,1.488,1.515
80,2025-11-11,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
81,2025-11-12,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
82,2025-11-12,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
83,2025-11-12,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
84,2025-11-12,单晶N型硅片 - 182*210mm / 130µm (RMB),1.350,1.300,1.350,1.445,1.488,1.515
85,2025-11-12,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
86,2025-11-13,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
87,2025-11-13,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
88,2025-11-13,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.300,1.393,1.436,1.462
89,2025-11-13,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.280,1.300,1.393,1.436,1.462
90,2025-11-13,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
91,2025-11-14,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
92,2025-11-14,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
93,2025-11-14,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.300,1.393,1.436,1.462
94,2025-11-14,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.280,1.300,1.393,1.436,1.462
95,2025-11-14,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
96,2025-11-15,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
97,2025-11-15,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
98,2025-11-15,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.300,1.393,1.436,1.462
99,2025-11-15,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.280,1.300,1.393,1.436,1.462
100,2025-11-15,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
101,2025-11-16,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
102,2025-11-16,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
103,2025-11-16,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.300,1.393,1.436,1.462
104,2025-11-16,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.280,1.300,1.393,1.436,1.462
105,2025-11-16,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
106,2025-11-18,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
107,2025-11-18,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
108,2025-11-18,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.300,1.393,1.436,1.462
109,2025-11-18,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.280,1.300,1.393,1.436,1.462
110,2025-11-18,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
111,2025-11-19,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
112,2025-11-19,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
113,2025-11-19,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.300,1.393,1.436,1.462
114,2025-11-19,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.280,1.300,1.393,1.436,1.462
115,2025-11-19,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
116,2025-11-20,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
117,2025-11-20,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
118,2025-11-20,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
119,2025-11-20,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
120,2025-11-20,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
121,2025-11-21,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
122,2025-11-21,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
123,2025-11-21,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
124,2025-11-21,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
125,2025-11-21,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
126,2025-11-22,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
127,2025-11-22,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
128,2025-11-22,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
129,2025-11-22,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
130,2025-11-22,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
131,2025-11-23,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
132,2025-11-23,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
133,2025-11-23,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
134,2025-11-23,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
135,2025-11-23,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
136,2025-11-25,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
137,2025-11-25,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
138,2025-11-25,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
139,2025-11-25,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
140,2025-11-25,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
141,2025-11-24,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
142,2025-11-24,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
143,2025-11-24,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
144,2025-11-24,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
145,2025-11-24,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
146,2025-11-26,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
147,2025-11-26,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
148,2025-11-26,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
149,2025-11-26,单晶N型硅片 - 182*210mm / 130µm (RMB),1.300,1.250,1.280,1.372,1.416,1.441
150,2025-11-26,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
151,2025-11-27,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
152,2025-11-27,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
153,2025-11-27,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.200,1.200,1.200,1.288,1.333,1.357
154,2025-11-27,单晶N型硅片 - 182*210mm / 130µm (RMB),1.250,1.200,1.250,1.340,1.385,1.409
155,2025-11-27,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
156,2025-11-28,多晶硅 致密料 (RMB),55.000,47.000,52.000,54.534,53.946,54.975
157,2025-11-28,多晶硅 颗粒料 (RMB),51.000,49.000,50.000,52.438,51.874,52.864
158,2025-11-28,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.200,1.200,1.200,1.288,1.333,1.357
159,2025-11-28,单晶N型硅片 - 182*210mm / 130µm (RMB),1.250,1.200,1.250,1.340,1.385,1.409
160,2025-11-28,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
